Michael Wheeler:POK_lOv, POK_wDe, POK_ZYd:Derrota:Event_8/1/4:si
Jason Nichols:POK_jqU, POK_XHG, POK_Ohw:Victoria:Event_6/3/5:si
Crystal Rice:POK_BYE, POK_pbn, POK_BYe:Derrota:Event_3/9/8:no
Yolanda Wright MD:POK_IPE, POK_Sot, POK_mXa:Victoria:Event_5/4/6:no
Breanna Williams:POK_tfw, POK_yFp, POK_LCB:Derrota:Event_7/8/8:si
Jeanne Vega:POK_bCr, POK_fok, POK_Yjm:Derrota:Event_1/6/1:si
Anthony Robinson:POK_cBN, POK_oNN, POK_YJD:Derrota:Event_3/6/9:no
Amber Vasquez:POK_zxA, POK_TPk, POK_oaG:Derrota:Event_3/7/4:no
Brian House:POK_OCL, POK_rJC, POK_zha:Victoria:Event_5/4/7:no
Eric Davis:POK_GKT, POK_WRN, POK_VvP:Derrota:Event_7/0/8:si
Matthew Levine:POK_AdN, POK_Luv, POK_wGS:Derrota:Event_4/1/2:no
Tammy White:POK_aui, POK_GAK, POK_KuQ:Derrota:Event_3/2/7:no
Amy Torres:POK_TbP, POK_iWo, POK_rSa:Derrota:Event_1/8/0:si
Cindy Gonzalez:POK_wsf, POK_hqv, POK_mlA:Derrota:Event_7/7/7:no
Tammy Keith:POK_SYP, POK_Aqd, POK_CHO:Victoria:Event_2/3/8:no
Frances Wagner:POK_aOv, POK_ekd, POK_ueT:Victoria:Event_2/0/7:si
Amanda Herman:POK_YHi, POK_IYF, POK_NtL:Derrota:Event_6/5/0:no
Paul Williams:POK_uIq, POK_ixz, POK_WjH:Derrota:Event_3/5/2:si
Tammy Pope:POK_FoF, POK_Lqw, POK_EcB:Derrota:Event_1/5/0:si
Mary Fuller:POK_rly, POK_zvl, POK_fNq:Derrota:Event_3/8/9:si
Catherine Mcintosh:POK_Hhv, POK_wFz, POK_VEf:Derrota:Event_4/5/0:no
Andrew Kidd:POK_JrG, POK_eKb, POK_eVB:Derrota:Event_3/2/0:si
Laurie Brooks:POK_FCP, POK_asP, POK_eLA:Victoria:Event_0/3/9:no
Michele Jones:POK_WHs, POK_XlB, POK_hNy:Victoria:Event_4/5/0:no
Ashley Rodriguez:POK_ETR, POK_Nke, POK_QPf:Derrota:Event_4/3/2:no
Miss Caitlin Meyers DVM:POK_jeV, POK_Zne, POK_kNR:Victoria:Event_1/8/5:si
Crystal Coleman:POK_tdL, POK_KLm, POK_lKk:Victoria:Event_2/3/6:no
Margaret Zimmerman:POK_zOt, POK_grX, POK_hDz:Derrota:Event_3/5/9:si
Cassandra Brown:POK_sGb, POK_OJo, POK_KCY:Derrota:Event_5/5/7:si
Cheryl Forbes:POK_UDA, POK_jPR, POK_ceW:Victoria:Event_1/8/2:si
Tracy Yang:POK_qrY, POK_wJb, POK_yDZ:Victoria:Event_1/6/8:no
Amanda Hooper:POK_NPE, POK_Aur, POK_JVV:Victoria:Event_5/6/7:no
Gloria Phillips:POK_BcG, POK_xmA, POK_hxY:Derrota:Event_9/9/2:si
Dennis Simpson:POK_rwX, POK_tVz, POK_JIi:Derrota:Event_6/5/8:si
Ashley Castro:POK_OpO, POK_uCf, POK_kZp:Derrota:Event_9/5/8:si
David Hunt:POK_hcl, POK_Qss, POK_ZEL:Victoria:Event_4/0/2:no
Brittany Estrada:POK_bBH, POK_WFM, POK_bpv:Victoria:Event_9/3/6:no
Beverly Bradshaw:POK_tbo, POK_bUr, POK_XGc:Derrota:Event_2/7/7:si
Lisa Davis:POK_PBr, POK_vlM, POK_xxA:Victoria:Event_0/9/2:no
Thomas Peterson:POK_eat, POK_DhF, POK_Gzk:Derrota:Event_8/0/6:si
Jordan Hayes:POK_RrB, POK_BGf, POK_bwr:Victoria:Event_6/5/6:si
Megan Green:POK_aFo, POK_KpH, POK_qiq:Victoria:Event_4/0/8:si
Nathan Hines:POK_zjq, POK_IVz, POK_ATp:Derrota:Event_9/2/5:si
Rhonda Bennett:POK_Tsf, POK_Ppj, POK_aLh:Derrota:Event_0/9/4:no
Shelley Johnson:POK_bRS, POK_SsE, POK_Kus:Victoria:Event_9/4/0:si
Laura Swanson:POK_iTa, POK_Orz, POK_rdl:Derrota:Event_2/2/5:si
Debra Ho:POK_UjU, POK_cPc, POK_Vji:Victoria:Event_9/0/7:si
Lisa Daugherty:POK_uId, POK_qbC, POK_hbk:Victoria:Event_1/0/5:si
Samantha Peters:POK_bjm, POK_Hme, POK_vdM:Derrota:Event_7/2/5:no
David Bishop:POK_Ach, POK_DEq, POK_rTQ:Derrota:Event_8/9/2:si
Cynthia Fitzpatrick:POK_lFC, POK_YpD, POK_EHB:Victoria:Event_1/4/7:si
Carlos Smith:POK_xQZ, POK_mOd, POK_iwg:Victoria:Event_5/3/1:si
Karen Chapman:POK_aQz, POK_QcE, POK_oyx:Victoria:Event_8/3/4:no
Thomas Poole:POK_Vfo, POK_rTR, POK_JFf:Derrota:Event_9/0/3:no
Brett Miranda:POK_DKU, POK_Ljv, POK_HrW:Victoria:Event_8/3/2:si
Kevin Butler:POK_QCj, POK_NRq, POK_xje:Victoria:Event_1/0/7:no
Christopher Bates:POK_UIt, POK_gYu, POK_Guk:Victoria:Event_9/5/7:si
Nicole Reid:POK_OIm, POK_Ksr, POK_QAw:Victoria:Event_1/1/9:si
Andrew Armstrong:POK_vZR, POK_hPK, POK_noZ:Derrota:Event_2/5/0:si
Terry Brock:POK_xZH, POK_oeL, POK_MLU:Derrota:Event_3/7/2:no
Danielle Freeman:POK_EQn, POK_TFE, POK_yoi:Victoria:Event_6/7/4:no
Christopher Lucas:POK_nXX, POK_YqY, POK_DPb:Derrota:Event_8/9/0:no
Madison Weaver:POK_Nfv, POK_Ekq, POK_Lds:Derrota:Event_7/5/3:si
Tracy Thompson:POK_xuk, POK_RsP, POK_eeV:Derrota:Event_3/6/7:no
Frank Turner:POK_jhp, POK_JKB, POK_ZHq:Derrota:Event_9/4/0:no
Deborah Chaney:POK_nuy, POK_OsA, POK_wdq:Victoria:Event_2/5/7:no
Connie Nelson:POK_yKH, POK_uaV, POK_YZw:Derrota:Event_4/1/5:si
Teresa Richardson:POK_myC, POK_zQW, POK_ftL:Derrota:Event_4/7/8:si
Michael Jordan:POK_kwA, POK_wov, POK_oLD:Victoria:Event_5/9/1:si
Samuel Wells:POK_Mqq, POK_soO, POK_XuC:Victoria:Event_4/3/3:no
David Bradley:POK_tVl, POK_wDW, POK_tkD:Derrota:Event_7/5/3:si
David Carson:POK_wQr, POK_PcV, POK_HNi:Derrota:Event_8/3/9:no
Krista Oliver:POK_pue, POK_atP, POK_COO:Victoria:Event_6/1/1:si
Robin Robbins:POK_LfM, POK_PuD, POK_hhP:Derrota:Event_9/2/5:no
Joseph Strong:POK_Dlt, POK_fOJ, POK_ZXG:Victoria:Event_0/8/6:no
Angelica Rogers:POK_XmA, POK_lzT, POK_NPm:Victoria:Event_1/3/6:no
Brandon Johnson:POK_Isn, POK_Ssl, POK_NDN:Derrota:Event_0/6/8:no
Krista Boone:POK_VRr, POK_tWf, POK_UjV:Derrota:Event_9/2/9:si
Sarah Fields:POK_ZIm, POK_PeO, POK_Dnc:Derrota:Event_7/7/6:no
Donald Mcintyre:POK_yDz, POK_rPQ, POK_tow:Derrota:Event_8/9/2:no
Anthony Johnson:POK_xtp, POK_qBI, POK_ZBc:Victoria:Event_0/5/7:si
Chloe Frazier:POK_vat, POK_AUB, POK_Ajj:Victoria:Event_0/5/3:si
Ricardo Duncan:POK_uBF, POK_Cib, POK_HRz:Victoria:Event_1/5/0:no
Justin Medina:POK_bJZ, POK_LTj, POK_xdk:Victoria:Event_8/0/2:si
Rachael Hill:POK_uDH, POK_nZd, POK_CWW:Victoria:Event_3/4/3:si
Virginia Morris:POK_wDf, POK_gud, POK_HLN:Victoria:Event_7/0/9:si
Shane Montes:POK_Wpj, POK_zgc, POK_NWu:Derrota:Event_5/3/0:si
Thomas Williamson:POK_aWD, POK_lYX, POK_qdr:Victoria:Event_6/2/7:no
Courtney Perez:POK_Vol, POK_BIJ, POK_jdQ:Victoria:Event_6/4/3:si
Gary Houston:POK_TXu, POK_seS, POK_IpF:Derrota:Event_2/4/6:si
Matthew Christian:POK_xMA, POK_Zck, POK_gZb:Victoria:Event_3/7/0:no
Aaron Jordan:POK_rPR, POK_KSC, POK_QZU:Victoria:Event_5/7/9:si
Steven Navarro:POK_FWn, POK_gih, POK_TrZ:Derrota:Event_0/0/4:si
Keith Sanders:POK_The, POK_AfG, POK_rrU:Victoria:Event_6/5/6:no
Scott Stafford:POK_HVC, POK_UJK, POK_dgl:Victoria:Event_7/1/5:no
Lori Carroll:POK_ASZ, POK_GYD, POK_oiA:Victoria:Event_6/8/1:no
Allison Armstrong:POK_XUs, POK_JEs, POK_wmu:Derrota:Event_5/0/8:no
Carol Morales MD:POK_Krx, POK_Scw, POK_QPS:Victoria:Event_4/2/2:si
Travis Lewis:POK_Mdb, POK_jaj, POK_wBh:Derrota:Event_2/5/5:no
Tina Woodward:POK_odp, POK_guY, POK_RJt:Victoria:Event_0/7/1:no
Deborah Johnson:POK_Euq, POK_IKL, POK_vZw:Victoria:Event_5/5/1:si
Amanda Rodgers:POK_zYC, POK_EuE, POK_vmY:Derrota:Event_7/8/6:si
Jeffrey Krause:POK_DjO, POK_ZhL, POK_tft:Derrota:Event_3/9/0:no
Miss Dana Sanchez:POK_XXT, POK_Whu, POK_Wbg:Victoria:Event_8/2/8:si
Mr. Jeffrey Mathews:POK_CgO, POK_cmK, POK_LLm:Derrota:Event_0/2/0:no
Kevin Hall:POK_Nxt, POK_Rji, POK_pml:Victoria:Event_3/7/2:no
Debbie Cooley:POK_bRl, POK_eQB, POK_GAV:Derrota:Event_4/9/9:no
Jerry Hamilton MD:POK_tRC, POK_gUU, POK_ldp:Derrota:Event_9/4/0:si
Heather Rose:POK_vGq, POK_LCL, POK_lIg:Derrota:Event_9/8/9:si
Stephanie Rowe:POK_DYf, POK_mSP, POK_VhV:Derrota:Event_0/9/5:si
Michael Christensen:POK_ovO, POK_nTe, POK_bXp:Victoria:Event_4/5/4:si
Michael Figueroa:POK_UpU, POK_OEZ, POK_dMG:Victoria:Event_0/6/5:si
Edward Downs Jr.:POK_iMY, POK_XaI, POK_ShX:Derrota:Event_6/6/8:si
Matthew Taylor:POK_Ebc, POK_cbE, POK_MMy:Victoria:Event_6/1/2:no
Katelyn Schneider:POK_HlR, POK_uaf, POK_neA:Victoria:Event_7/9/8:si
Kenneth Hamilton:POK_SHS, POK_HzD, POK_ICX:Victoria:Event_4/6/3:si
Becky Delacruz:POK_mlT, POK_RXM, POK_jPI:Victoria:Event_6/7/4:si
Brian White:POK_wIF, POK_RoD, POK_Rad:Victoria:Event_2/5/9:no
Ian Mayo:POK_DUd, POK_TdT, POK_RCr:Derrota:Event_1/8/9:no
Joshua Rose:POK_pms, POK_NbS, POK_cPA:Victoria:Event_9/7/7:no
Terrance Bray:POK_BfL, POK_ZPZ, POK_UxS:Victoria:Event_7/2/6:si
Nichole Valentine:POK_HwP, POK_FvC, POK_bVc:Derrota:Event_7/5/9:no
Jennifer Rosales:POK_DEx, POK_nry, POK_XrC:Victoria:Event_2/4/9:si
Brian Barker:POK_YxM, POK_mlf, POK_XNP:Derrota:Event_3/5/2:no
Caleb Valencia:POK_pAF, POK_yps, POK_KIn:Victoria:Event_6/0/4:si
Eric Hoffman:POK_THf, POK_fxd, POK_YKx:Derrota:Event_1/3/2:no
Julia Lee:POK_lik, POK_Nbi, POK_zTE:Derrota:Event_5/7/4:no
Keith Hernandez:POK_PeW, POK_NoN, POK_iTY:Derrota:Event_1/7/1:no
Emily Holmes:POK_NqS, POK_pcg, POK_pRj:Victoria:Event_9/1/4:no
Melissa Sanchez:POK_ZHS, POK_FbC, POK_sdG:Derrota:Event_0/9/5:no
Anthony Baldwin:POK_fRm, POK_VEY, POK_afq:Victoria:Event_4/1/3:no
Matthew Norris:POK_riu, POK_OBc, POK_iel:Derrota:Event_4/0/6:si
Stacy Waller:POK_urX, POK_YOr, POK_pfp:Derrota:Event_6/4/5:si
Beth Yang:POK_lSU, POK_AWm, POK_iCE:Victoria:Event_1/5/1:si
Grant Schneider:POK_dnm, POK_PGk, POK_sGS:Victoria:Event_5/7/8:si
Anthony Underwood:POK_zca, POK_GLl, POK_mES:Victoria:Event_2/5/5:no
Brian Johnson:POK_FFo, POK_zcN, POK_ZjT:Derrota:Event_1/3/2:si
John Braun:POK_geW, POK_AyL, POK_azu:Derrota:Event_4/9/4:si
Tracy Carney:POK_tMG, POK_aVD, POK_sbr:Victoria:Event_1/2/0:si
Michael Orr:POK_hvi, POK_mlM, POK_ffq:Victoria:Event_7/1/3:no
Stephanie Snyder:POK_SJJ, POK_Ycs, POK_dhS:Victoria:Event_9/6/1:no
Ashley Owens:POK_lAl, POK_WSQ, POK_Deb:Derrota:Event_0/3/0:no
Jennifer Le:POK_glx, POK_TuH, POK_KBz:Victoria:Event_4/8/6:no
Dr. Joseph Walton:POK_fTx, POK_jyo, POK_uUd:Derrota:Event_6/6/7:si
Connor Thomas:POK_erb, POK_jwg, POK_OKJ:Victoria:Event_1/4/7:no
Brandy Young:POK_Tmw, POK_jkL, POK_AQI:Victoria:Event_0/8/0:no
Diana Love:POK_Pmk, POK_bXQ, POK_Ndl:Derrota:Event_8/0/0:si
John Spencer:POK_Nxk, POK_PPR, POK_QsN:Victoria:Event_4/3/3:si
Ryan Medina:POK_Smp, POK_ugH, POK_aGY:Derrota:Event_3/6/6:no
Derrick Thomas:POK_fui, POK_xnW, POK_sUE:Derrota:Event_7/3/9:no
Caitlin Richardson:POK_Tge, POK_Hok, POK_pbA:Victoria:Event_1/0/8:no
Hunter Villa:POK_hWJ, POK_VIg, POK_cUQ:Victoria:Event_0/8/3:no
Emily Bailey:POK_oNN, POK_ylY, POK_Ivg:Derrota:Event_0/0/5:si
Diana Adams:POK_xHS, POK_AEh, POK_rtd:Derrota:Event_4/6/7:no
Gregory Hebert:POK_yWU, POK_Mph, POK_zaQ:Derrota:Event_4/7/5:no
Jessica Palmer:POK_hFn, POK_BRU, POK_YHY:Derrota:Event_9/1/2:no
Michael Kim:POK_DLa, POK_eba, POK_nUp:Victoria:Event_7/0/8:no
Gloria Bautista:POK_fjS, POK_qkl, POK_yin:Victoria:Event_8/3/8:no
Benjamin Cross:POK_frX, POK_yKl, POK_cOh:Derrota:Event_7/8/9:no
Tim Jackson:POK_PkI, POK_CyT, POK_OgP:Derrota:Event_2/3/6:si
Bobby Turner:POK_RIP, POK_Mzr, POK_Qgq:Derrota:Event_7/4/5:si
Michelle Mendez:POK_Pjl, POK_Lqb, POK_vlB:Victoria:Event_9/0/7:si
Margaret Richards:POK_AtR, POK_FwY, POK_IZW:Derrota:Event_1/5/8:si
Rhonda Peterson:POK_VZE, POK_uft, POK_OtL:Victoria:Event_9/4/9:si
Douglas Gonzalez:POK_ltK, POK_HTj, POK_iOn:Victoria:Event_9/5/5:si
Dominic Rogers:POK_dqq, POK_mDP, POK_TYq:Derrota:Event_2/3/4:no
Edgar Jackson:POK_Amg, POK_Ndg, POK_LJv:Victoria:Event_0/5/7:si
Cathy Fowler:POK_nUW, POK_POO, POK_WmO:Victoria:Event_1/9/5:si
Michael Davidson:POK_QjM, POK_HLK, POK_vdX:Derrota:Event_8/7/7:si
Benjamin Davis:POK_HOK, POK_RMb, POK_ySV:Victoria:Event_9/5/2:si
Sarah Johnson:POK_ysI, POK_lEZ, POK_BsC:Derrota:Event_0/9/1:si
Cassidy Kim:POK_mJB, POK_yAU, POK_Pqm:Derrota:Event_0/4/3:si
Kenneth Conner:POK_ISH, POK_UbU, POK_mIV:Derrota:Event_3/5/5:si
William White:POK_bSH, POK_rGY, POK_gGh:Derrota:Event_7/2/5:no
Gloria May:POK_mex, POK_mah, POK_LSy:Victoria:Event_8/5/9:no
Taylor Hancock:POK_pIZ, POK_Cwd, POK_EAl:Derrota:Event_1/4/9:no
Bob Trujillo:POK_Hme, POK_obl, POK_GAH:Victoria:Event_7/9/9:si
Maurice Torres:POK_stN, POK_PWv, POK_hEn:Derrota:Event_0/2/8:si
Patricia Ford:POK_KdA, POK_XwY, POK_FmT:Derrota:Event_4/4/8:si
John Patterson:POK_wRQ, POK_HOQ, POK_sOm:Victoria:Event_3/2/7:si
Amber Morrison:POK_XDy, POK_TQr, POK_naa:Derrota:Event_8/6/2:si
Julie Garcia:POK_WFS, POK_OWA, POK_iaZ:Derrota:Event_7/3/7:si
Sonya Frey:POK_xAy, POK_Vrp, POK_EUK:Victoria:Event_5/2/4:si
Robin Petty:POK_LMj, POK_vYZ, POK_pAZ:Derrota:Event_2/5/7:si
Scott Garcia:POK_jkL, POK_bgD, POK_QWh:Victoria:Event_5/2/4:no
Henry Miller:POK_eRG, POK_iAO, POK_AMz:Victoria:Event_5/8/9:no
Melissa Rios:POK_XIr, POK_Fxh, POK_NAJ:Victoria:Event_8/0/8:no
Ian Walker:POK_XIO, POK_Jkt, POK_mtD:Derrota:Event_2/0/3:si
Isaac Price:POK_uSz, POK_kej, POK_REC:Derrota:Event_1/0/2:no
Kenneth Hart:POK_oHc, POK_gWW, POK_KNP:Derrota:Event_6/5/7:no
Paul Little:POK_xwk, POK_VsO, POK_bEr:Victoria:Event_9/5/9:no
Jacqueline Lopez:POK_aWo, POK_dbt, POK_opb:Derrota:Event_8/0/5:no
Michael Johnson:POK_qId, POK_cME, POK_ptR:Victoria:Event_7/0/4:no
Tyler Garrett:POK_cwp, POK_Pgp, POK_UWQ:Derrota:Event_9/3/7:no
Joshua Jackson:POK_cxX, POK_FgP, POK_xMU:Derrota:Event_9/8/4:no
Wendy Werner:POK_tab, POK_TNq, POK_kZl:Derrota:Event_5/9/1:si
Samuel Campbell:POK_gKd, POK_PEn, POK_VqC:Derrota:Event_0/6/2:si
Rhonda Garcia:POK_dMU, POK_mig, POK_BAW:Victoria:Event_0/6/4:no
Mr. Dale Smith MD:POK_yRa, POK_lJS, POK_Xlr:Derrota:Event_7/5/9:si
Anna Avery:POK_svk, POK_FWF, POK_Rtc:Derrota:Event_0/6/8:si
Blake Rice:POK_fzb, POK_Qbf, POK_dxf:Victoria:Event_9/5/5:no
Alexandria Benjamin:POK_iOq, POK_HZl, POK_xMh:Victoria:Event_9/3/8:si
Sara Jackson:POK_gNG, POK_FcE, POK_oMG:Victoria:Event_9/4/0:no
Valerie Chen:POK_Xfc, POK_DUm, POK_Psf:Victoria:Event_7/9/5:si
Raymond Smith:POK_PDB, POK_wNR, POK_bss:Derrota:Event_5/7/5:no
Benjamin Williams:POK_LRF, POK_jSm, POK_GWH:Derrota:Event_4/5/3:si
Denise Ramos:POK_uHA, POK_Rco, POK_hwq:Derrota:Event_6/4/0:si
Tonya Butler:POK_Mdb, POK_cjG, POK_oHd:Derrota:Event_7/2/9:no
Natalie Holmes:POK_hBb, POK_nle, POK_lBt:Derrota:Event_5/8/9:no
Eduardo Smith:POK_Sbz, POK_XJo, POK_pvL:Victoria:Event_8/4/6:no
Stephanie Jackson:POK_ODp, POK_JRH, POK_VFs:Derrota:Event_0/1/2:si
Donald Rogers:POK_pfp, POK_DGi, POK_yCC:Victoria:Event_9/7/4:no
Diamond Rowland:POK_qqH, POK_PrJ, POK_wVa:Derrota:Event_4/1/5:si
Sheila Cannon:POK_cPR, POK_jKG, POK_lub:Derrota:Event_2/2/7:si
James Garcia:POK_KiS, POK_gkb, POK_aay:Derrota:Event_3/7/6:no
Dr. Lisa Rodriguez DVM:POK_qWZ, POK_vyd, POK_KtH:Victoria:Event_3/4/0:no
Sharon Walker:POK_pdW, POK_gTZ, POK_SZr:Derrota:Event_0/1/6:no
Michael Hahn:POK_hbp, POK_Jvp, POK_ocx:Derrota:Event_5/5/5:si
Andrew Williams:POK_sFG, POK_hGm, POK_VdB:Victoria:Event_2/5/0:si
Brenda Everett:POK_SiD, POK_xjI, POK_sQy:Victoria:Event_0/5/7:no
Jamie White:POK_lOu, POK_wcr, POK_vVh:Victoria:Event_7/4/4:si
Shannon Riggs:POK_IoO, POK_iWn, POK_lRN:Derrota:Event_1/9/0:no
Robert Hogan:POK_ZBt, POK_TAV, POK_KSf:Derrota:Event_4/8/2:si
Terry Norris:POK_mCp, POK_EaO, POK_YXs:Victoria:Event_8/7/9:no
David Conley:POK_tHj, POK_jDT, POK_WzH:Derrota:Event_0/9/1:no
Amanda Murphy:POK_jWY, POK_CEg, POK_lQI:Victoria:Event_4/2/9:si
Angela Rangel:POK_ELw, POK_Iun, POK_vDH:Derrota:Event_9/2/1:si
Mary Davis:POK_isZ, POK_EXU, POK_iPJ:Victoria:Event_1/0/0:no
Gregory Young:POK_pYr, POK_Voj, POK_mQM:Derrota:Event_7/1/4:si
Edward Williams:POK_tAL, POK_XbC, POK_sGv:Derrota:Event_4/8/4:no
Loretta Mcdonald:POK_NxI, POK_iRw, POK_RAi:Victoria:Event_4/5/0:si
Meagan Morgan:POK_nOf, POK_ZEe, POK_XQG:Victoria:Event_7/7/1:si
Debra Brooks:POK_sId, POK_yay, POK_VCR:Derrota:Event_9/0/8:no
Mark Hebert:POK_GWv, POK_YAG, POK_JdP:Victoria:Event_8/3/3:si
Angela Cummings:POK_lwR, POK_uit, POK_zHC:Victoria:Event_4/9/2:no
Robert Davis:POK_tlz, POK_ptP, POK_PGI:Victoria:Event_0/2/9:si
Sheila Knight:POK_lzA, POK_AMe, POK_adQ:Derrota:Event_3/9/1:si
Gregory Kramer:POK_WjZ, POK_pqL, POK_Uxd:Derrota:Event_7/0/3:si
Nathaniel Hart:POK_heM, POK_zZF, POK_hwG:Derrota:Event_1/3/3:si
Courtney Williamson:POK_MyD, POK_DUu, POK_eyQ:Victoria:Event_0/8/2:si
Kimberly Anderson:POK_cTT, POK_XAs, POK_ToW:Derrota:Event_6/8/2:si
Donald Robinson:POK_mzw, POK_CMO, POK_QgT:Derrota:Event_0/0/2:no
Christopher Chang:POK_DrF, POK_BJJ, POK_ohe:Victoria:Event_4/0/2:si
Cameron Mcfarland:POK_rrK, POK_HVy, POK_CTu:Victoria:Event_7/0/2:si
Rebecca Jones:POK_jeA, POK_gCJ, POK_EOU:Victoria:Event_4/9/4:si
Nicole Flowers:POK_qFv, POK_Tsy, POK_Coy:Derrota:Event_7/7/7:no
Barbara Hopkins:POK_NPw, POK_wkf, POK_AGi:Victoria:Event_2/3/5:no
Michael King:POK_tUO, POK_WrF, POK_FQi:Derrota:Event_6/8/7:no
Joanne Martin:POK_KVW, POK_cXl, POK_bev:Derrota:Event_0/5/6:si
Angela Watson:POK_INb, POK_lXm, POK_nMl:Victoria:Event_4/8/8:si
Gary Jackson:POK_sik, POK_NNC, POK_fjG:Derrota:Event_4/3/0:no
Scott Sellers:POK_TpX, POK_toJ, POK_urq:Victoria:Event_3/6/3:no
Rachel Hart:POK_wWF, POK_yOt, POK_HqT:Derrota:Event_2/0/7:no
David Ellis:POK_BIY, POK_yPh, POK_Chv:Derrota:Event_4/3/6:no
Jessica Sanders:POK_EqH, POK_kta, POK_USE:Victoria:Event_1/0/0:si
Brian Thompson:POK_pxv, POK_ZFJ, POK_EUR:Derrota:Event_3/7/4:no
Bryan Perez:POK_Zfz, POK_IFx, POK_vaq:Derrota:Event_4/4/0:si
Tyler Harrison:POK_Lcv, POK_JOM, POK_Sdw:Derrota:Event_2/3/0:no
Christina May:POK_qUL, POK_QeR, POK_adW:Derrota:Event_9/1/6:no
Erik Mcclain:POK_vVL, POK_Baw, POK_DnW:Derrota:Event_3/5/7:si
Brad Jones:POK_tjG, POK_iVN, POK_UMv:Victoria:Event_7/3/7:si
Nicole Garrison:POK_tyK, POK_Vxm, POK_QBn:Derrota:Event_6/9/2:si
Mark Miller:POK_Pkt, POK_LBh, POK_ipH:Derrota:Event_8/4/3:no
David Brown:POK_Kwz, POK_kUL, POK_RfD:Derrota:Event_7/5/1:no
Dr. Barbara Williams:POK_QaE, POK_iOS, POK_bgt:Victoria:Event_3/9/6:si
Anita Garcia:POK_zGl, POK_UrS, POK_Col:Victoria:Event_8/4/5:no
Cynthia Holden:POK_uzr, POK_ISU, POK_rQb:Victoria:Event_8/7/5:si
Melvin Keith:POK_yoa, POK_qnw, POK_ibS:Derrota:Event_6/5/4:no
Stephanie Smith:POK_TWg, POK_Cra, POK_cdX:Derrota:Event_1/4/5:si
Jesse Phillips:POK_EXT, POK_WBg, POK_NVx:Victoria:Event_9/8/6:si
Shawn Phillips:POK_huI, POK_XBw, POK_Vor:Derrota:Event_5/5/8:si
Heather James:POK_bGZ, POK_Xvr, POK_MSi:Victoria:Event_9/1/6:si
James Hall:POK_Bvk, POK_rML, POK_aBb:Victoria:Event_4/8/4:no
Colton Martin:POK_ynt, POK_BZn, POK_ECB:Victoria:Event_6/7/2:si
Felicia Huff:POK_PXl, POK_hZu, POK_tHm:Derrota:Event_3/7/8:si
Carol Sellers:POK_fts, POK_lEf, POK_Deo:Victoria:Event_8/5/6:no
Alexandra Camacho:POK_mHd, POK_anY, POK_jkP:Victoria:Event_8/1/9:si
Jeffrey Madden:POK_cVs, POK_YgQ, POK_JcJ:Derrota:Event_9/7/1:si
Alex House:POK_zas, POK_RaR, POK_eeH:Derrota:Event_3/6/4:no
Darlene Terrell:POK_KMy, POK_KvE, POK_xTd:Victoria:Event_5/3/9:no
Sean Ortega:POK_gAA, POK_WFi, POK_zKn:Derrota:Event_6/7/0:si
Kristen Wiley:POK_Mqa, POK_dsa, POK_tEJ:Derrota:Event_7/1/2:no
Eric Miller:POK_vuV, POK_Lxf, POK_jcN:Victoria:Event_0/1/3:no
Lauren Peters:POK_ZnD, POK_Lkz, POK_yjw:Victoria:Event_9/8/9:no
Erica Jacobs:POK_kVZ, POK_rWF, POK_iqg:Derrota:Event_3/8/3:no
Sean Jones:POK_gYz, POK_nmW, POK_rTy:Derrota:Event_9/5/7:si
Tyler Castaneda:POK_sNe, POK_eyt, POK_UNX:Victoria:Event_3/2/8:si
Michael Allison:POK_FBE, POK_jcL, POK_QtI:Derrota:Event_9/4/6:no
Matthew Wilson:POK_KGi, POK_aOS, POK_fUf:Derrota:Event_3/8/2:no
Melissa Jordan:POK_aLT, POK_gWz, POK_tUn:Victoria:Event_1/3/7:si
Ebony Sanchez:POK_scb, POK_cUU, POK_qNF:Derrota:Event_7/0/7:no
Sheila Myers:POK_smD, POK_yxf, POK_TJw:Derrota:Event_1/9/5:si
Eric Sutton:POK_ANp, POK_wXE, POK_BVn:Derrota:Event_2/6/3:no
Donna White:POK_KdZ, POK_Ven, POK_UHi:Derrota:Event_7/5/0:no
Richard Richardson:POK_pGL, POK_yID, POK_bBe:Victoria:Event_0/4/6:no
Mrs. Diane Conner PhD:POK_Fnq, POK_TbD, POK_qPK:Victoria:Event_7/8/1:si
Christy Shaw:POK_rPB, POK_edj, POK_ijd:Derrota:Event_6/2/0:no
Parker Duncan:POK_XDI, POK_MTx, POK_Uuh:Derrota:Event_8/8/5:si
Dr. Kimberly Herrera:POK_afU, POK_HvV, POK_UCZ:Victoria:Event_9/1/7:no
Michael Higgins:POK_TmO, POK_dbW, POK_RHt:Derrota:Event_2/2/1:si
Donna Jones:POK_EYk, POK_ffG, POK_CzV:Victoria:Event_8/3/3:si
Stephanie Curry:POK_MEJ, POK_MpL, POK_lEp:Derrota:Event_6/8/4:no
Christy Montgomery:POK_PSG, POK_ZWQ, POK_KOA:Victoria:Event_7/7/7:si
Joyce Johnson:POK_OVq, POK_PLR, POK_WRg:Derrota:Event_5/2/5:no
Bryce Lynch DDS:POK_zZA, POK_ySU, POK_yJl:Derrota:Event_9/7/2:no
Brittany Newton:POK_nJS, POK_CpQ, POK_cIS:Victoria:Event_9/7/7:si
Vincent Anderson:POK_Vmh, POK_cGg, POK_HvC:Victoria:Event_8/7/0:si
